#alarm_message
id,number,timestamp,status,device_id
1,1,2025-11-11 11:11:11,status1,1
2,2,2025-11-11 11:11:11,status2,2
3,3,2025-11-11 11:11:11,status3,3
4,4,2025-11-11 11:11:11,status4,4
5,5,2025-11-11 11:11:11,status5,5
6,6,2025-11-11 11:11:11,status6,6
7,7,2025-11-11 11:11:11,status7,7
8,8,2025-11-11 11:11:11,status8,8
9,9,2025-11-11 11:11:11,status9,9
10,10,2025-11-11 11:11:11,status10,10
11,11,2025-11-11 11:11:11,status11,11
12,12,2025-11-11 11:11:11,status12,12
13,13,2025-11-11 11:11:11,status13,13
14,14,2025-11-11 11:11:11,status14,14
15,15,2025-11-11 11:11:11,status15,15
16,16,2025-11-11 11:11:11,status16,16
17,17,2025-11-11 11:11:11,status17,17
18,18,2025-11-11 11:11:11,status18,18
19,19,2025-11-11 11:11:11,status19,19
20,20,2025-11-11 11:11:11,status20,20
21,21,2025-11-11 11:11:11,status21,21
22,22,2025-11-11 11:11:11,status22,22
23,23,2025-11-11 11:11:11,status23,23
24,24,2025-11-11 11:11:11,status24,24
25,25,2025-11-11 11:11:11,status25,25
26,26,2025-11-11 11:11:11,status26,26
27,27,2025-11-11 11:11:11,status27,27
28,28,2025-11-11 11:11:11,status28,28
29,29,2025-11-11 11:11:11,status29,29
30,30,2025-11-11 11:11:11,status30,30
31,31,2025-11-11 11:11:11,status31,31
32,32,2025-11-11 11:11:11,status32,32
33,33,2025-11-11 11:11:11,status33,33
34,34,2025-11-11 11:11:11,status34,34
35,35,2025-11-11 11:11:11,status35,35
36,36,2025-11-11 11:11:11,status36,36
37,37,2025-11-11 11:11:11,status37,37
38,38,2025-11-11 11:11:11,status38,38
39,39,2025-11-11 11:11:11,status39,39
40,40,2025-11-11 11:11:11,status40,40
41,41,2025-11-11 11:11:11,status41,41
42,42,2025-11-11 11:11:11,status42,42
43,43,2025-11-11 11:11:11,status43,43
44,44,2025-11-11 11:11:11,status44,44
45,45,2025-11-11 11:11:11,status45,45
46,46,2025-11-11 11:11:11,status46,46
47,47,2025-11-11 11:11:11,status47,47
48,48,2025-11-11 11:11:11,status48,48
49,49,2025-11-11 11:11:11,status49,49
50,50,2025-11-11 11:11:11,status50,50
51,51,2025-11-11 11:11:11,status51,51
52,52,2025-11-11 11:11:11,status52,52
53,53,2025-11-11 11:11:11,status53,53
54,54,2025-11-11 11:11:11,status54,54
55,55,2025-11-11 11:11:11,status55,55
56,56,2025-11-11 11:11:11,status56,56
57,57,2025-11-11 11:11:11,status57,57
58,58,2025-11-11 11:11:11,status58,58
59,59,2025-11-11 11:11:11,status59,59
60,60,2025-11-11 11:11:11,status60,60
61,61,2025-11-11 11:11:11,status61,61
62,62,2025-11-11 11:11:11,status62,62
63,63,2025-11-11 11:11:11,status63,63
64,64,2025-11-11 11:11:11,status64,64
65,65,2025-11-11 11:11:11,status65,65
66,66,2025-11-11 11:11:11,status66,66
67,67,2025-11-11 11:11:11,status67,67
68,68,2025-11-11 11:11:11,status68,68
69,69,2025-11-11 11:11:11,status69,69
70,70,2025-11-11 11:11:11,status70,70
71,71,2025-11-11 11:11:11,status71,71
72,72,2025-11-11 11:11:11,status72,72
73,73,2025-11-11 11:11:11,status73,73
74,74,2025-11-11 11:11:11,status74,74
75,75,2025-11-11 11:11:11,status75,75
76,76,2025-11-11 11:11:11,status76,76
77,77,2025-11-11 11:11:11,status77,77
78,78,2025-11-11 11:11:11,status78,78
79,79,2025-11-11 11:11:11,status79,79
80,80,2025-11-11 11:11:11,status80,80
81,81,2025-11-11 11:11:11,status81,81
82,82,2025-11-11 11:11:11,status82,82
83,83,2025-11-11 11:11:11,status83,83
84,84,2025-11-11 11:11:11,status84,84
85,85,2025-11-11 11:11:11,status85,85
86,86,2025-11-11 11:11:11,status86,86
87,87,2025-11-11 11:11:11,status87,87
88,88,2025-11-11 11:11:11,status88,88
89,89,2025-11-11 11:11:11,status89,89
90,90,2025-11-11 11:11:11,status90,90
91,91,2025-11-11 11:11:11,status91,91
92,92,2025-11-11 11:11:11,status92,92
93,93,2025-11-11 11:11:11,status93,93
94,94,2025-11-11 11:11:11,status94,94
95,95,2025-11-11 11:11:11,status95,95
96,96,2025-11-11 11:11:11,status96,96
97,97,2025-11-11 11:11:11,status97,97
98,98,2025-11-11 11:11:11,status98,98
99,99,2025-11-11 11:11:11,status99,99
100,100,2025-11-11 11:11:11,status100,100
101,101,2025-11-11 11:11:11,status101,101
102,102,2025-11-11 11:11:11,status102,102
103,103,2025-11-11 11:11:11,status103,103
104,104,2025-11-11 11:11:11,status104,104
105,105,2025-11-11 11:11:11,status105,105
106,106,2025-11-11 11:11:11,status106,106
107,107,2025-11-11 11:11:11,status107,107
108,108,2025-11-11 11:11:11,status108,108
109,109,2025-11-11 11:11:11,status109,109
110,110,2025-11-11 11:11:11,status110,110
111,111,2025-11-11 11:11:11,status111,111
112,112,2025-11-11 11:11:11,status112,112
113,113,2025-11-11 11:11:11,status113,113
114,114,2025-11-11 11:11:11,status114,114
115,115,2025-11-11 11:11:11,status115,115
116,116,2025-11-11 11:11:11,status116,116
117,117,2025-11-11 11:11:11,status117,117
118,118,2025-11-11 11:11:11,status118,118
119,119,2025-11-11 11:11:11,status119,119
120,120,2025-11-11 11:11:11,status120,120
121,121,2025-11-11 11:11:11,status121,121
122,122,2025-11-11 11:11:11,status122,122
123,123,2025-11-11 11:11:11,status123,123
124,124,2025-11-11 11:11:11,status124,124
125,125,2025-11-11 11:11:11,status125,125
126,126,2025-11-11 11:11:11,status126,126
127,127,2025-11-11 11:11:11,status127,127
128,128,2025-11-11 11:11:11,status128,128
129,129,2025-11-11 11:11:11,status129,129
130,130,2025-11-11 11:11:11,status130,130
131,131,2025-11-11 11:11:11,status131,131
132,132,2025-11-11 11:11:11,status132,132
133,133,2025-11-11 11:11:11,status133,133
134,134,2025-11-11 11:11:11,status134,134
135,135,2025-11-11 11:11:11,status135,135
136,136,2025-11-11 11:11:11,status136,136
137,137,2025-11-11 11:11:11,status137,137
138,138,2025-11-11 11:11:11,status138,138
139,139,2025-11-11 11:11:11,status139,139
140,140,2025-11-11 11:11:11,status140,140
141,141,2025-11-11 11:11:11,status141,141
142,142,2025-11-11 11:11:11,status142,142
143,143,2025-11-11 11:11:11,status143,143
144,144,2025-11-11 11:11:11,status144,144
145,145,2025-11-11 11:11:11,status145,145
146,146,2025-11-11 11:11:11,status146,146
147,147,2025-11-11 11:11:11,status147,147
148,148,2025-11-11 11:11:11,status148,148
149,149,2025-11-11 11:11:11,status149,149
150,150,2025-11-11 11:11:11,status150,150
#camera
id,image_quality,device_id
1,1px,1
2,2px,2
3,3px,3
4,4px,4
5,5px,5
6,6px,6
7,7px,7
8,8px,8
9,9px,9
10,10px,10
11,11px,11
12,12px,12
13,13px,13
14,14px,14
15,15px,15
16,16px,16
17,17px,17
18,18px,18
19,19px,19
20,20px,20
21,21px,21
22,22px,22
23,23px,23
24,24px,24
25,25px,25
26,26px,26
27,27px,27
28,28px,28
29,29px,29
30,30px,30
31,31px,31
32,32px,32
33,33px,33
34,34px,34
35,35px,35
36,36px,36
37,37px,37
38,38px,38
39,39px,39
40,40px,40
41,41px,41
42,42px,42
43,43px,43
44,44px,44
45,45px,45
46,46px,46
47,47px,47
48,48px,48
49,49px,49
50,50px,50
51,51px,51
52,52px,52
53,53px,53
54,54px,54
55,55px,55
56,56px,56
57,57px,57
58,58px,58
59,59px,59
60,60px,60
61,61px,61
62,62px,62
63,63px,63
64,64px,64
65,65px,65
66,66px,66
67,67px,67
68,68px,68
69,69px,69
70,70px,70
71,71px,71
72,72px,72
73,73px,73
74,74px,74
75,75px,75
76,76px,76
77,77px,77
78,78px,78
79,79px,79
80,80px,80
81,81px,81
82,82px,82
83,83px,83
84,84px,84
85,85px,85
86,86px,86
87,87px,87
88,88px,88
89,89px,89
90,90px,90
91,91px,91
92,92px,92
93,93px,93
94,94px,94
95,95px,95
96,96px,96
97,97px,97
98,98px,98
99,99px,99
100,100px,100
101,101px,101
102,102px,102
103,103px,103
104,104px,104
105,105px,105
106,106px,106
107,107px,107
108,108px,108
109,109px,109
110,110px,110
111,111px,111
112,112px,112
113,113px,113
114,114px,114
115,115px,115
116,116px,116
117,117px,117
118,118px,118
119,119px,119
120,120px,120
121,121px,121
122,122px,122
123,123px,123
124,124px,124
125,125px,125
126,126px,126
127,127px,127
128,128px,128
129,129px,129
130,130px,130
131,131px,131
132,132px,132
133,133px,133
134,134px,134
135,135px,135
136,136px,136
137,137px,137
138,138px,138
139,139px,139
140,140px,140
141,141px,141
142,142px,142
143,143px,143
144,144px,144
145,145px,145
146,146px,146
147,147px,147
148,148px,148
149,149px,149
150,150px,150
#device
id,name,mac_address,location,user_id
1,device1,MAC1,Franka St.1,1
2,device2,MAC2,Franka St.2,2
3,device3,MAC3,Franka St.3,3
4,device4,MAC4,Franka St.4,4
5,device5,MAC5,Franka St.5,5
6,device6,MAC6,Franka St.6,6
7,device7,MAC7,Franka St.7,7
8,device8,MAC8,Franka St.8,8
9,device9,MAC9,Franka St.9,9
10,device10,MAC10,Franka St.10,10
11,device11,MAC11,Franka St.11,11
12,device12,MAC12,Franka St.12,12
13,device13,MAC13,Franka St.13,13
14,device14,MAC14,Franka St.14,14
15,device15,MAC15,Franka St.15,15
16,device16,MAC16,Franka St.16,16
17,device17,MAC17,Franka St.17,17
18,device18,MAC18,Franka St.18,18
19,device19,MAC19,Franka St.19,19
20,device20,MAC20,Franka St.20,20
21,device21,MAC21,Franka St.21,21
22,device22,MAC22,Franka St.22,22
23,device23,MAC23,Franka St.23,23
24,device24,MAC24,Franka St.24,24
